"","Competition_Name","Country","Team","Opp","Venue","HomeGoals","AwayGoals","Result","Diff"
"1","Premier League","ENG","Manchester Utd","Fulham","H",1,0,"W",1
"2","Premier League","ENG","Ipswich Town","Liverpool","H",0,2,"L",-2
"3","Premier League","ENG","Newcastle Utd","Southampton","H",1,0,"W",1
"4","Premier League","ENG","Everton","Brighton","H",0,3,"L",-3
"5","Premier League","ENG","Nott'ham Forest","Bournemouth","H",1,1,"D",0
"6","Premier League","ENG","Arsenal","Wolves","H",2,0,"W",2
"7","Premier League","ENG","West Ham","Aston Villa","H",1,2,"L",-1
"8","Premier League","ENG","Brentford","Crystal Palace","H",2,1,"W",1
"9","Premier League","ENG","Chelsea","Manchester City","H",0,2,"L",-2
"10","Premier League","ENG","Leicester City","Tottenham","H",1,1,"D",0
"11","Premier League","ENG","Brighton","Manchester Utd","H",2,1,"W",1
"12","Premier League","ENG","Manchester City","Ipswich Town","H",4,1,"W",3
"13","Premier League","ENG","Southampton","Nott'ham Forest","H",0,1,"L",-1
"14","Premier League","ENG","Tottenham","Everton","H",4,0,"W",4
"15","Premier League","ENG","Fulham","Leicester City","H",2,1,"W",1
"16","Premier League","ENG","Crystal Palace","West Ham","H",0,2,"L",-2
"17","Premier League","ENG","Aston Villa","Arsenal","H",0,2,"L",-2
"18","Premier League","ENG","Wolves","Chelsea","H",2,6,"L",-4
"19","Premier League","ENG","Bournemouth","Newcastle Utd","H",1,1,"D",0
"20","Premier League","ENG","Liverpool","Brentford","H",2,0,"W",2
"21","Premier League","ENG","Arsenal","Brighton","H",1,1,"D",0
"22","Premier League","ENG","Ipswich Town","Fulham","H",1,1,"D",0
"23","Premier League","ENG","Nott'ham Forest","Wolves","H",1,1,"D",0
"24","Premier League","ENG","Brentford","Southampton","H",3,1,"W",2
"25","Premier League","ENG","Leicester City","Aston Villa","H",1,2,"L",-1
"26","Premier League","ENG","Everton","Bournemouth","H",2,3,"L",-1
"27","Premier League","ENG","West Ham","Manchester City","H",1,3,"L",-2
