Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,League,Season
Premier_League,2020–21
1,38,27,5,6,83,32,+51,86,Qualification for theChampions League group stage,Premier_League,2020–21
2,38,21,11,6,73,44,+29,74,Premier_League,2020–21
3,38,20,9,9,68,42,+26,69,Premier_League,2020–21
4,38,19,10,9,58,36,+22,67,Premier_League,2020–21
5,38,20,6,12,68,50,+18,66,Qualification for theEuropa League group stage[a],Premier_League,2020–21
6,38,19,8,11,62,47,+15,65,Premier_League,2020–21
7,38,18,8,12,68,45,+23,62,Qualification for theEuropa Conference League play-off round[b],Premier_League,2020–21
8,38,18,7,13,55,39,+16,61,,Premier_League,2020–21
9,38,18,5,15,62,54,+8,59,Premier_League,2020–21
10,38,17,8,13,47,48,−1,59,Premier_League,2020–21
11,38,16,7,15,55,46,+9,55,Premier_League,2020–21
12,38,12,9,17,46,62,−16,45,Premier_League,2020–21
13,38,12,9,17,36,52,−16,45,Premier_League,2020–21
14,38,12,8,18,41,66,−25,44,Premier_League,2020–21
15,38,12,7,19,47,68,−21,43,Premier_League,2020–21
16,38,9,14,15,40,46,−6,41,Premier_League,2020–21
17,38,10,9,19,33,55,−22,39,Premier_League,2020–21
18,38,5,13,20,27,53,−26,28,Relegation toEFL Championship,Premier_League,2020–21
19,38,5,11,22,35,76,−41,26,Premier_League,2020–21
20,38,7,2,29,20,63,−43,23,Premier_League,2020–21
La_Liga,2020–21
1,38,26,8,4,67,25,+42,86,Qualification for theChampions League group stage,La_Liga,2020–21
2,38,25,9,4,67,28,+39,84,La_Liga,2020–21
3,38,24,7,7,85,38,+47,79,La_Liga,2020–21
4,38,24,5,9,53,33,+20,77,La_Liga,2020–21
5,38,17,11,10,59,38,+21,62,Qualification for theEuropa League group stage[b],La_Liga,2020–21
6,38,17,10,11,50,50,0,61,La_Liga,2020–21
7,38,15,13,10,60,44,+16,58,Qualification for theChampions League group stage[c],La_Liga,2020–21
8,38,14,11,13,55,57,−2,53,,La_Liga,2020–21
9,38,13,7,18,47,65,−18,46[d],La_Liga,2020–21
10,38,11,13,14,46,42,+4,46[d],La_Liga,2020–21
11,38,11,11,16,37,48,−11,44[e],La_Liga,2020–21
12,38,11,11,16,36,58,−22,44[e],La_Liga,2020–21
13,38,10,13,15,50,53,−3,43,La_Liga,2020–21
14,38,9,14,15,46,57,−11,41,La_Liga,2020–21
15,38,9,11,18,28,43,−15,38,La_Liga,2020–21
16,38,9,11,18,36,57,−21,38,La_Liga,2020–21
17,38,8,12,18,34,55,−21,36,La_Liga,2020–21
18,38,7,13,18,34,53,−19,34,Relegation toSegunda División,La_Liga,2020–21
19,38,5,16,17,34,57,−23,31,La_Liga,2020–21
20,38,6,12,20,29,52,−23,30,La_Liga,2020–21
Serie_A,2020–21
1,38,28,7,3,89,35,+54,91,Qualification forChampions League group stage,Serie_A,2020–21
2,38,24,7,7,74,41,+33,79,Serie_A,2020–21
3,38,23,9,6,90,47,+43,78[a],Serie_A,2020–21
4,38,23,9,6,77,38,+39,78[a],Serie_A,2020–21
5,38,24,5,9,86,41,+45,77,0Qualification forEuropa League group stage[b],Serie_A,2020–21
6,38,21,5,12,61,55,+6,68,Serie_A,2020–21
7,38,18,8,12,68,58,+10,62,0Qualification forConference League play-off round[b],Serie_A,2020–21
8,38,17,11,10,64,56,+8,62,,Serie_A,2020–21
9,38,15,7,16,52,54,−2,52,Serie_A,2020–21
10,38,11,12,15,46,48,−2,45,Serie_A,2020–21
11,38,10,12,16,47,58,−11,42,Serie_A,2020–21
12,38,10,11,17,51,65,−14,41,Serie_A,2020–21
13,38,9,13,16,47,59,−12,40,Serie_A,2020–21
14,38,10,10,18,42,58,−16,40,Serie_A,2020–21
15,38,9,12,17,52,72,−20,39,Serie_A,2020–21
16,38,9,10,19,43,59,−16,37,Serie_A,2020–21
17,38,7,16,15,50,69,−19,37,Serie_A,2020–21
